epoch,strategy,arm,current reward,cumulative reward,optimal
34,Epsilon Greedy,3,179.46622518903266,4589.913259173606,False
35,Epsilon Greedy,3,181.23158267392284,4771.144841847529,False
36,Epsilon Greedy,3,180.64452996947736,4951.789371817006,False
37,Epsilon Greedy,3,180.9100210682818,5132.699392885288,False
38,Epsilon Greedy,3,180.93518267278168,5313.63457555807,False
39,Epsilon Greedy,3,181.64887075461104,5495.283446312681,False
40,Epsilon Greedy,3,180.0790533766315,5675.362499689312,False
41,Epsilon Greedy,3,178.87952693330806,5854.24202662262,False
42,Epsilon Greedy,3,177.6192493803227,6031.861276002943,False
43,Epsilon Greedy,3,180.2087971175284,6212.0700731204715,False
44,Epsilon Greedy,3,181.82910524254322,6393.8991783630145,False
45,Epsilon Greedy,3,183.51767262261322,6577.416850985628,False
46,Epsilon Greedy,3,182.1886351737057,6759.605486159334,False
47,Epsilon Greedy,3,181.31708699426173,6940.922573153595,False
48,Epsilon Greedy,3,180.7548688812025,7121.677442034797,False
49,Epsilon Greedy,5,167.11283500431935,7288.7902770391165,False
50,Epsilon Greedy,3,178.88133077154828,7467.671607810665,False
51,Epsilon Greedy,3,181.32968769749073,7649.001295508156,False
52,Epsilon Greedy,3,181.93889576374627,7830.940191271902,False
53,Epsilon Greedy,3,180.2145649474117,8011.154756219314,False
54,Epsilon Greedy,3,180.17287338084137,8191.327629600155,False
55,Epsilon Greedy,0,64.19871326440055,8255.526342864556,False
56,Epsilon Greedy,3,180.8943589661077,8436.420701830664,False
57,Epsilon Greedy,3,180.07775294696,8616.498454777624,False
58,Epsilon Greedy,3,181.64996674642782,8798.148421524053,False
59,Epsilon Greedy,3,180.40672287071072,8978.555144394762,False
60,Epsilon Greedy,3,180.29396577119405,9158.849110165957,False
61,Epsilon Greedy,3,180.04850640319128,9338.897616569147,False
62,Epsilon Greedy,3,179.87816986527912,9518.775786434426,False
63,Epsilon Greedy,3,181.20687019244,9699.982656626866,False
64,Epsilon Greedy,3,182.1690615449946,9882.151718171861,False
65,Epsilon Greedy,3,179.1266919326799,10061.27841010454,False
