epoch,strategy,arm,current reward,cumulative reward,optimal
1,Epsilon Greedy,2,194.77815337039902,194.77815337039902,True
2,Epsilon Greedy,0,135.4002546520034,330.17840802240244,False
3,Epsilon Greedy,2,193.5807789102063,523.7591869326087,True
4,Epsilon Greedy,1,88.78933128210024,612.5485182147089,False
5,Epsilon Greedy,2,197.45044348014224,809.9989616948511,True
6,Epsilon Greedy,2,192.91648668838243,1002.9154483832335,True
7,Epsilon Greedy,2,194.32851178141402,1197.2439601646474,True
8,Epsilon Greedy,8,115.63367026858678,1312.8776304332341,False
9,Epsilon Greedy,7,163.46491732981673,1476.3425477630508,False
10,Epsilon Greedy,2,192.52528040175568,1668.8678281648065,True
11,Epsilon Greedy,2,194.6157547570521,1863.4835829218587,True
12,Epsilon Greedy,2,194.12413619337158,2057.6077191152303,True
13,Epsilon Greedy,2,196.7266364903898,2254.33435560562,True
14,Epsilon Greedy,4,72.79494263471605,2327.129298240336,False
15,Epsilon Greedy,9,29.064053077060766,2356.1933513173967,False
16,Epsilon Greedy,2,195.35820453749054,2551.5515558548873,True
17,Epsilon Greedy,4,73.46821474820754,2625.019770603095,False
18,Epsilon Greedy,2,193.5317183938103,2818.5514889969054,True
19,Epsilon Greedy,5,49.34753818768704,2867.8990271845923,False
20,Epsilon Greedy,2,193.9080258081167,3061.807052992709,True
21,Epsilon Greedy,2,193.81378134349993,3255.620834336209,True
22,Epsilon Greedy,7,162.86875756886474,3418.4895919050737,False
23,Epsilon Greedy,6,95.68245905289078,3514.1720509579645,False
24,Epsilon Greedy,2,194.86776150714252,3709.039812465107,True
25,Epsilon Greedy,2,193.41780869791714,3902.457621163024,True
26,Epsilon Greedy,2,193.6315577474337,4096.089178910458,True
27,Epsilon Greedy,1,89.87280807998111,4185.961986990439,False
28,Epsilon Greedy,9,28.9038680236172,4214.865855014056,False
29,Epsilon Greedy,2,193.94028645576222,4408.806141469819,True
30,Epsilon Greedy,4,73.0121611578905,4481.818302627709,False
31,Epsilon Greedy,3,182.70869788591074,4664.52700051362,False
32,Epsilon Greedy,2,194.67582762615828,4859.202828139778,True
33,Epsilon Greedy,7,164.6154873827845,5023.818315522562,False
34,Epsilon Greedy,6,98.46844950427042,5122.286765026833,False
35,Epsilon Greedy,3,182.2668600192244,5304.553625046057,False
36,Epsilon Greedy,8,116.58955897648757,5421.143184022545,False
37,Epsilon Greedy,5,47.98798315487341,5469.131167177418,False
38,Epsilon Greedy,2,194.6762110898444,5663.807378267263,True
39,Epsilon Greedy,9,28.82132663552119,5692.628704902784,False
40,Epsilon Greedy,2,193.4539022636994,5886.082607166483,True
41,Epsilon Greedy,9,27.193257711803827,5913.275864878287,False
42,Epsilon Greedy,6,96.93375254116764,6010.209617419455,False
43,Epsilon Greedy,7,164.8403823237569,6175.049999743212,False
44,Epsilon Greedy,1,88.39194525667561,6263.441944999887,False
45,Epsilon Greedy,2,195.87961391284344,6459.32155891273,True
46,Epsilon Greedy,1,85.93216217896322,6545.2537210916935,False
47,Epsilon Greedy,3,182.81508375512334,6728.068804846816,False
48,Epsilon Greedy,2,194.01410337924955,6922.082908226066,True
49,Epsilon Greedy,8,116.36423843256868,7038.447146658635,False
50,Epsilon Greedy,4,72.15260483987076,7110.599751498506,False
51,Epsilon Greedy,2,194.13232221189182,7304.732073710397,True
52,Epsilon Greedy,6,96.59009555541333,7401.322169265811,False
53,Epsilon Greedy,5,48.10080130325622,7449.422970569067,False
54,Epsilon Greedy,2,193.05945661110275,7642.48242718017,True
55,Epsilon Greedy,6,96.40931684309231,7738.891744023263,False
56,Epsilon Greedy,6,96.07141146982521,7834.9631554930875,False
57,Epsilon Greedy,3,182.1971548355025,8017.16031032859,False
58,Epsilon Greedy,4,71.72848471555477,8088.888795044145,False
59,Epsilon Greedy,4,74.1387162782375,8163.027511322382,False
60,Epsilon Greedy,2,193.7818403157842,8356.809351638167,True
61,Epsilon Greedy,3,181.96024460353695,8538.769596241704,False
62,Epsilon Greedy,2,194.0560609842745,8732.825657225978,True
63,Epsilon Greedy,2,193.60912313958775,8926.434780365566,True
64,Epsilon Greedy,2,195.38419559243982,9121.818975958005,True
65,Epsilon Greedy,0,132.61669033640555,9254.435666294412,False
66,Epsilon Greedy,8,116.7933016046657,9371.228967899078,False
67,Epsilon Greedy,2,194.70376475720545,9565.932732656283,True
68,Epsilon Greedy,8,117.29807524842654,9683.23080790471,False
69,Epsilon Greedy,2,193.5845418449262,9876.815349749637,True
70,Epsilon Greedy,6,93.83150574100284,9970.64685549064,False
71,Epsilon Greedy,0,134.79317963294514,10105.440035123585,False
