epoch,strategy,arm,current reward,cumulative reward,optimal
1,Epsilon Greedy,7,186.22979905683832,186.22979905683832,True
2,Epsilon Greedy,7,184.67390308891623,370.90370214575455,True
3,Epsilon Greedy,7,187.571440452284,558.4751425980386,True
4,Epsilon Greedy,0,12.779559507869102,571.2547021059077,False
5,Epsilon Greedy,0,15.004880426838282,586.259582532746,False
6,Epsilon Greedy,7,187.4951938505926,773.7547763833386,True
7,Epsilon Greedy,2,54.988492579739216,828.7432689630778,False
8,Epsilon Greedy,7,186.24063287955136,1014.9839018426292,True
9,Epsilon Greedy,7,186.510533114989,1201.494434957618,True
10,Epsilon Greedy,7,187.5508722513136,1389.0453072089317,True
11,Epsilon Greedy,7,186.9900692181515,1576.0353764270833,True
12,Epsilon Greedy,0,12.63987808678365,1588.675254513867,False
13,Epsilon Greedy,0,14.275139385163408,1602.9503938990304,False
14,Epsilon Greedy,7,187.85150864165502,1790.8019025406854,True
15,Epsilon Greedy,6,67.77928838596935,1858.5811909266547,False
16,Epsilon Greedy,7,186.9965504415678,2045.5777413682224,True
17,Epsilon Greedy,2,54.56389701168324,2100.1416383799055,False
18,Epsilon Greedy,2,54.16196825085619,2154.303606630762,False
19,Epsilon Greedy,7,187.55676813532858,2341.8603747660904,True
20,Epsilon Greedy,7,185.4134688671493,2527.2738436332397,True
21,Epsilon Greedy,7,186.19443538199818,2713.468279015238,True
22,Epsilon Greedy,1,175.65872824793286,2889.1270072631705,False
23,Epsilon Greedy,3,10.444601322060741,2899.5716085852314,False
24,Epsilon Greedy,7,186.36416037683247,3085.935768962064,True
25,Epsilon Greedy,7,186.3849587663121,3272.320727728376,True
26,Epsilon Greedy,7,184.86725207989156,3457.1879798082673,True
27,Epsilon Greedy,7,186.9554466970202,3644.1434265052876,True
28,Epsilon Greedy,3,8.840271716385436,3652.983698221673,False
29,Epsilon Greedy,9,42.44207513207954,3695.4257733537524,False
30,Epsilon Greedy,7,186.2019772971369,3881.6277506508895,True
31,Epsilon Greedy,7,185.81625445389363,4067.444005104783,True
32,Epsilon Greedy,5,168.02390073169116,4235.4679058364745,False
33,Epsilon Greedy,9,43.91040778503396,4279.378313621509,False
34,Epsilon Greedy,6,70.14477651772614,4349.523090139235,False
35,Epsilon Greedy,7,187.14379355317647,4536.666883692412,True
36,Epsilon Greedy,8,58.094490396612,4594.761374089024,False
37,Epsilon Greedy,1,175.81174781151464,4770.573121900538,False
38,Epsilon Greedy,3,8.822162007374223,4779.395283907913,False
39,Epsilon Greedy,3,9.013049902583463,4788.4083338104965,False
40,Epsilon Greedy,4,94.37783026454935,4882.786164075046,False
41,Epsilon Greedy,7,185.96187256622102,5068.748036641267,True
42,Epsilon Greedy,7,186.76002877184197,5255.50806541311,True
43,Epsilon Greedy,2,52.939959409816765,5308.4480248229265,False
44,Epsilon Greedy,7,186.53236635564934,5494.980391178576,True
45,Epsilon Greedy,7,186.35595397847138,5681.336345157047,True
46,Epsilon Greedy,7,185.99108899106756,5867.327434148115,True
47,Epsilon Greedy,7,186.81887058724948,6054.1463047353645,True
48,Epsilon Greedy,3,11.041875439024363,6065.188180174389,False
49,Epsilon Greedy,7,186.069387470988,6251.257567645377,True
50,Epsilon Greedy,4,94.2410013684195,6345.498569013796,False
51,Epsilon Greedy,7,185.50525682058299,6531.003825834379,True
52,Epsilon Greedy,0,14.993820705885714,6545.997646540265,False
53,Epsilon Greedy,7,186.4317744291051,6732.42942096937,True
54,Epsilon Greedy,7,187.42192294048544,6919.851343909855,True
55,Epsilon Greedy,4,92.78751474664868,7012.6388586565035,False
56,Epsilon Greedy,5,168.19377991633706,7180.832638572841,False
57,Epsilon Greedy,7,186.23547236629386,7367.068110939134,True
